ASDC1,ASDC2,ASDC3,ASDC4,ASDC5,ASDC6,ASDC7,ASDC8,ASDC9,ASDC10,ASDC11,ASDC12,ASDC13,ASDC14,ASDC15,ASDC16,Target
0.043902439,0.092682927,0.070731707,0.043902439,0.03902439,0.080487805,0.068292683,0.032926829,0.07195122,0.12195122,0.095121951,0.057317073,0.032926829,0.069512195,0.053658537,0.025609756,1
0.080487805,0.064634146,0.067073171,0.048780488,0.067073171,0.043902439,0.048780488,0.034146341,0.079268293,0.06097561,0.054878049,0.046341463,0.097560976,0.075609756,0.075609756,0.054878049,1
0.001219512,0.014634146,0.018292683,0.006097561,0.019512195,0.11097561,0.143902439,0.056097561,0.020731707,0.129268293,0.146341463,0.046341463,0.015853659,0.097560976,0.129268293,0.043902439,1
0.012195122,0.045121951,0.026829268,0.012195122,0.076829268,0.231707317,0.124390244,0.063414634,0.034146341,0.119512195,0.054878049,0.029268293,0.024390244,0.082926829,0.043902439,0.018292683,1
0.007317073,0.046341463,0.01097561,0.019512195,0.046341463,0.208536585,0.054878049,0.07804878,0.037804878,0.176829268,0.054878049,0.076829268,0.019512195,0.107317073,0.020731707,0.034146341,1
0.12804878,0.103658537,0.113414634,0.109756098,0.042682927,0.034146341,0.03902439,0.041463415,0.069512195,0.058536585,0.054878049,0.065853659,0.036585366,0.036585366,0.031707317,0.034146341,1
0.001219512,0.012195122,0.012195122,0.008536585,0.036585366,0.231707317,0.195121951,0.113414634,0.014634146,0.073170732,0.067073171,0.047560976,0.01097561,0.081707317,0.059756098,0.034146341,1
0.054878049,0.040243902,0.012195122,0.079268293,0.069512195,0.043902439,0.012195122,0.096341463,0.036585366,0.031707317,0.007317073,0.06097561,0.140243902,0.101219512,0.026829268,0.186585366,1
0.034146341,0.058536585,0.079268293,0.065853659,0.058536585,0.080487805,0.114634146,0.091463415,0.037804878,0.06097561,0.080487805,0.069512195,0.02195122,0.040243902,0.062195122,0.043902439,1
0.043902439,0.065853659,0.058536585,0.034146341,0.087804878,0.11097561,0.109756098,0.054878049,0.073170732,0.095121951,0.080487805,0.046341463,0.031707317,0.047560976,0.041463415,0.018292683,1
0.043902439,0.054878049,0.029268293,0.074390244,0.043902439,0.043902439,0.026829268,0.063414634,0.036585366,0.03902439,0.018292683,0.052439024,0.112195122,0.123170732,0.07195122,0.165853659,1
0.012195122,0.036585366,0.043902439,0.025609756,0.036585366,0.080487805,0.114634146,0.057317073,0.047560976,0.104878049,0.12804878,0.075609756,0.029268293,0.074390244,0.08902439,0.043902439,1
0.054878049,0.086585366,0.068292683,0.031707317,0.084146341,0.11097561,0.082926829,0.035365854,0.053658537,0.087804878,0.054878049,0.029268293,0.053658537,0.084146341,0.056097561,0.025609756,1
0.043902439,0.054878049,0.124390244,0.057317073,0.02195122,0.025609756,0.062195122,0.034146341,0.062195122,0.082926829,0.165853659,0.086585366,0.030487805,0.034146341,0.079268293,0.034146341,1
0.025609756,0.048780488,0.03902439,0.023170732,0.070731707,0.11097561,0.082926829,0.054878049,0.054878049,0.104878049,0.067073171,0.046341463,0.053658537,0.098780488,0.074390244,0.043902439,1
0.018292683,0.036585366,0.068292683,0.013414634,0.073170732,0.12804878,0.198780488,0.035365854,0.056097561,0.112195122,0.165853659,0.025609756,0.008536585,0.019512195,0.036585366,0.003658537,1
0.034146341,0.104878049,0.056097561,0.015853659,0.090243902,0.231707317,0.12195122,0.035365854,0.051219512,0.146341463,0.067073171,0.018292683,0.003658537,0.013414634,0.008536585,0.001219512,1
0.034146341,0.029268293,0.032926829,0.029268293,0.068292683,0.054878049,0.064634146,0.059756098,0.093902439,0.093902439,0.095121951,0.086585366,0.068292683,0.062195122,0.07195122,0.054878049,1
0.034146341,0.040243902,0.045121951,0.041463415,0.086585366,0.095121951,0.101219512,0.101219512,0.062195122,0.073170732,0.067073171,0.069512195,0.046341463,0.041463415,0.051219512,0.043902439,1
0.012195122,0.064634146,0.026829268,0.017073171,0.057317073,0.231707317,0.087804878,0.056097561,0.034146341,0.156097561,0.054878049,0.03902439,0.019512195,0.090243902,0.034146341,0.018292683,1
